branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13268,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5a5224e773112aabf6b6f88d19d7b4d0850bd6b4/develop/gaea/gfortran/8.3.0/O/mpi/7.7.11),2022-03-21 01:55:41 -0400
develop,gaea,gfortran 8.3.0,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,13268,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bd5530f00aef4287cc66c4b83a82629f10fbce61/develop/gaea/gfortran/8.3.0/g/mpi/7.7.11),2022-03-21 02:49:23 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8e28116e74323fce5f6a923a7b2f1af0212ed028/develop/gaea/gfortran/8.3.0/O/mpiuni/none),2022-03-21 01:32:02 -0400
develop,gaea,gfortran 8.3.0,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,11742,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a57d100af687fd4e9d8e20612354888a28703272/develop/gaea/gfortran/8.3.0/g/mpiuni/none),2022-03-21 02:26:53 -0400
develop,gaea,intel 2019.5,mpi 7.7.11,4.6.3 4.4.5,O,Unicos,pass,13254,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/1375c4b6e809ee684578dd610b0272f3a6302c43/develop/gaea/intel/2019.5/O/mpi/7.7.11),2022-03-21 01:47:06 -0400
develop,gaea,intel 2019.5,mpi 7.7.11,4.6.3 4.4.5,g,Unicos,pass,13254,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/253f11d1fd4180a77fcb1cd9b0992c5afc9ce479/develop/gaea/intel/2019.5/g/mpi/7.7.11),2022-03-21 02:17:37 -0400
develop,gaea,intel 2019.5,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,11727,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ab6f930930ff64a71cd8abbabfdf76d3e3c198ee/develop/gaea/intel/2019.5/O/mpiuni/none),2022-03-21 01:28:14 -0400
develop,gaea,intel 2019.5,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,11727,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/460880cbb1bd6c98b19d0cd5d290b3d4b28f876f/develop/gaea/intel/2019.5/g/mpiuni/none),2022-03-21 01:58:31 -0400
develop,hera,gfortran 9.2.0,mpiuni none,N/A N/A,O,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/97bb109fbfddffdbc039377622518c28fe413c7c/develop/hera/gfortran/9.2.0/O/mpiuni/none),2022-03-18 15:47:30 +0000
develop,hera,gfortran 9.2.0,mpiuni none,N/A N/A,g,Linux,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/055b00471a70aa9cf16cb9bce77fbfd277f98384/develop/hera/gfortran/9.2.0/g/mpiuni/none),2022-03-18 15:59:58 +0000
